82 ms
176 ms
176 ms
203 ms
221 ms
246 ms
264 ms
323 ms
375 ms
391 ms
462 ms
488 ms
604 ms
654 ms
783 ms
847 ms
967 ms
984 ms
1 105 ms
1 213 ms
1 309 ms
1 474 ms
1 570 ms
1 610 ms
1 847 ms
1 924 ms
2 038 ms
2 294 ms
2 280 ms
2 531 ms
2 688 ms
2 930 ms
3 014 ms
3 453 ms
3 825 ms
3 718 ms
3 784 ms
4 270 ms
4 471 ms
5 007 ms
4 915 ms
4 928 ms
5 232 ms
5 460 ms
5 785 ms
5 628 ms
6 054 ms
6 385 ms
6 524 ms
6 656 ms
7 272 ms
7 477 ms
8 132 ms
8 040 ms
8 640 ms
8 993 ms
9 367 ms
9 696 ms
9 859 ms
10 335 ms
10 422 ms
10 670 ms
11 243 ms
11 437 ms
11 848 ms
12 262 ms
12 516 ms
12 821 ms
13 599 ms
14 217 ms
14 085 ms
14 785 ms
14 898 ms
15 367 ms
16 299 ms
16 039 ms
15 967 ms
16 360 ms
16 479 ms
16 638 ms
17 645 ms
17 911 ms
18 482 ms
18 290 ms
18 980 ms
21 232 ms
23 160 ms
22 150 ms
23 420 ms
21 972 ms
24 168 ms
24 149 ms
24 433 ms
24 744 ms
26 748 ms
25 456 ms
27 705 ms
29 556 ms
28 708 ms
27 533 ms
29 773 ms
